Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
166;9.92447;2.79433;7.42898;-1.96838;-5.69915;-11.734;992.31873;-12.70241;53.18325;0.41541;0;0
167;9.74481;3.0195;7.82184;-11.00158;1.44195;-0.56457;992.32062;-13.58473;51.24713;0.39155;0;0
168;9.55257;2.93147;8.23086;-11.9171;11.14654;-1.78528;992.30786;-13.08772;49.25054;0.3642;0;0
169;9.78553;3.13748;8.22488;3.58581;-25.71867;-13.9923;992.29004;-13.79016;49.95248;0.37512;0;0
170;7.9446;2.49729;6.27016;-14.72472;-27.54972;-8.62121;992.28961;-13.86067;51.71824;0.39851;0;0
171;7.12056;2.18528;4.81611;6.27136;-23.15519;-26.44346;992.21521;-14.26302;55.92689;0.45702;0;0
172;5.2437;2.37991;2.66976;7.36999;-28.70938;-13.62609;992.2254;-22.02116;63.01769;0.57939;0;0
173;4.26455;1.44926;2.31523;4.62341;-21.99553;-13.87023;992.23285;-16.629;61.50241;0.54283;0;0
174;5.0305;1.81697;2.56616;17.80699;-32.37149;-12.34435;992.21991;-17.83536;62.97301;0.56743;0;0
175;7.3128;3.50997;1.80559;-3.55529;-17.53996;4.31823;992.19653;-24.98473;76.13058;0.78272;0;0
176;7.9991;3.55968;3.00513;-2.7008;1.50299;8.04137;992.19653;-22.61575;69.40965;0.67536;0;0
177;8.40214;3.70341;3.13089;-16.86095;-3.99017;3.82995;992.23431;-22.44193;69.5631;0.67727;0;0
178;8.78422;3.06262;3.01711;12.06969;-5.45501;-3.55529;992.22412;-18.24957;71.044;0.6915;0;0
179;8.69798;4.0268;2.86799;7.55309;-4.11224;0.35095;992.18799;-23.73381;71.75105;0.71334;0;0
180;8.40753;3.56268;2.84224;9.50622;-1.30463;0.65613;992.20074;-21.87201;71.32175;0.7028;0;0
181;8.3716;3.52195;2.62485;11.88659;0.8316;-0.2594;992.20563;-21.87215;72.59161;0.72236;0;0
182;7.63738;3.66748;1.80739;7.98034;25.24564;4.50134;992.19757;-25.0464;76.68588;0.79137;0;0
183;5.46289;2.37691;1.89842;-1.35803;30.18949;12.68004;992.20013;-22.3423;70.83707;0.69639;0;0
184;3.83097;1.28158;2.55777;-0.4425;29.15189;2.24304;992.22266;-15.54764;56.27068;0.46505;0;0
185;5.25748;2.13497;3.55729;0.7782;12.61138;14.26696;992.2099;-18.58929;55.91714;0.46885;0;0
186;7.26189;2.48531;2.97339;11.94762;12.36724;27.57261;992.2171;-17.57399;67.73332;0.63877;0;0
187;9.25433;2.29247;5.56649;-6.66809;31.22709;25.55845;992.24731;-11.98465;58.97303;0.49579;0;0
188;10.03166;2.53262;7.58229;-11.06261;31.53226;3.0365;992.27771;-11.38728;52.91672;0.40889;0;0
189;10.11191;2.16072;7.24752;-11.55089;8.15582;2.24304;992.26984;-9.85274;54.36966;0.42604;0;0
190;9.76038;2.9117;8.04821;-11.67296;9.68169;-0.93079;992.27771;-12.96161;50.4917;0.38002;0;0
191;9.24056;2.41285;7.94161;-0.01526;-1.48773;2.91443;992.31018;-11.20131;49.32326;0.36063;0;0
192;9.06569;1.94393;6.79118;-1.60217;4.3106;0.59509;992.29956;-9.73798;53.16282;0.4091;0;0
193;8.90579;0.89291;5.96594;35.81235;2.78473;3.34167;992.31976;-4.76169;56.18209;0.44537;0;0
194;7.68589;1.47142;7.07385;7.18688;3.27301;-13.13781;992.23029;-8.01817;47.37453;0.32942;0;0
195;7.34933;2.10922;6.09769;8.52966;-3.80706;-13.07677;992.2915;-12.45497;50.31772;0.3765;0;0
196;10.32212;3.00573;7.64457;4.37927;-4.41742;-7.82775;992.29382;-13.17056;53.47631;0.4205;0;0
197;10.39159;3.66209;8.64588;1.75476;6.81304;-9.35363;992.30872;-15.15787;50.23928;0.38267;0;0
198;9.1106;2.87038;8.18415;-6.48498;-4.11224;-1.4801;992.30573;-13.19081;48.06631;0.34936;0;0
199;8.64588;2.36793;7.52839;-8.31603;-4.11224;-9.17052;992.30829;-11.67033;48.95232;0.35689;0;0
200;8.02725;2.75181;7.0972;4.37927;-13.51165;-10.87188;992.2796;-14.40356;48.51884;0.35845;0;0
201;7.65954;2.21941;5.09159;-6.42394;-21.81242;-6.41632;992.25641;-13.56654;56.3865;0.46186;0;0
202;4.91792;1.33248;4.14418;4.07409;-23.03312;-21.36992;992.22308;-11.70557;49.88019;0.36901;0;0
203;3.85552;0.954;2.57933;3.76892;-20.22551;-12.15361;992.20502;-11.62134;56.21761;0.45536;0;0
204;4.48434;1.83554;2.84643;8.22448;-30.05216;-12.6419;992.21503;-19.06419;57.5947;0.49349;0;0
205;6.82951;3.37223;2.84523;7.61413;-33.40909;-5.80596;992.20972;-24.50354;67.38299;0.65007;0;0
206;8.26201;3.95314;3.43272;-5.87463;-4.35638;8.35418;992.20673;-23.83833;67.43796;0.64905;0;0
207;8.05001;3.40278;3.919;4.01306;-5.02777;-2.94494;992.20398;-20.80977;64.04169;0.59084;0;0
208;8.45304;3.6555;2.71767;-6.60705;-11.55852;2.24304;992.20905;-22.37666;72.1773;0.71697;0;0
209;8.21589;2.90092;3.87229;18.78355;-4.17327;-4.53186;992.24176;-17.71295;64.76469;0.59387;0;0
210;8.37579;3.61777;3.08957;5.23376;3.0899;-4.04358;992.21606;-22.05983;69.75256;0.67926;0;0
211;7.99192;3.3884;3.19497;0.90027;6.44683;1.20544;992.21051;-21.48883;68.2097;0.65459;0;0
212;7.54037;3.82139;2.39847;-1.78528;14.86968;-0.2594;992.1925;-25.77809;72.35495;0.72705;0;0
213;5.53655;2.97099;1.7469;-23.26963;32.75296;15.85387;992.22797;-27.10089;72.48837;0.73214;0;0
214;3.30456;0.95939;2.87637;4.62341;22.7432;12.98522;992.24286;-12.35199;48.9629;0.35865;0;0
215;3.75611;0.94981;3.34109;8.9569;7.05718;5.17273;992.22522;-10.6993;48.34662;0.34693;0;0
216;7.08942;2.29607;4.06513;14.87731;11.81792;27.63364;992.24792;-15.69324;60.16971;0.52111;0;0
